>name	construction_g20N28								
>description	Test of non-replicative lambda red knockout of dapD								
									
>>steps	operation	materials1	materials2	product	size_bp	barcode	status	date	note
1	acquire	plasmid		pKD46			done	4/26/16	
2	acquire	genomic		deltaDapD			done	4/26/16	"Used the tube labeled ""L"""
3	acquire	oligo		ca4064-ca4071			done	4/26/16	
4	pcr	"ca4064,ca4067"	pKD46	pHIGH	2374		done	4/26/16	
5	pcr	"ca4065,ca4067"	pKD46	pMED	2374		done	4/26/16	
6	pcr	"ca4066,ca4067"	pKD46	pLOW	2374		done	4/26/16	
7	pcr	"ca4068,ca4069"	deltaDapD	ko_pcr	2724		done	4/26/16	"PCR confirmed by gel, no pic saved"
8	zymo	pHIGH		HIGH		store	done	4/26/16	
9	zymo	pMED		MED		store	done	4/26/16	
10	zymo	pLOW		LOW		store	done	4/26/16	
11	zymo	ko_pcr		ko		store	done	4/26/16	
12	gg	HIGH	"BamHI,BglII,DpnI,T4L"	dHIGH			done	4/26/16	
13	gg	MED	"BamHI,BglII,DpnI,T4L"	dMED			done	4/26/16	
14	gg	LOW	"BamHI,BglII,DpnI,T4L"	dLOW			done	4/26/16	
15	zymo	dHIGH		cHIGH		store	done	4/26/16	
16	zymo	dMED		cMED		store	done	4/26/16	
17	zymo	dLOW		cLOW		store	done	4/26/16	
18	transform	"HIGH,ko"	zymo10B	"Kan,DAP"	N28-HIGH		null		
19	transform	"cHIGH,ko"	zymo10B	"Kan,DAP"	N28-cHIGH		done	4/26/16	
20	transform	"MED,ko"	zymo10B	"Kan,DAP"	N28-MED		null		
21	transform	"cMED_circ,ko"	zymo10B	"Kan,DAP"	N28-cMED		done	4/26/16	
22	transform	"LOW,ko"	zymo10B	"Kan,DAP"	N28-LOW		null		
23	transform	"cLOW,ko"	zymo10B	"Kan,DAP"	N28-cLOW		done	4/26/16	
24	pcr	"ca4070,ca4071"	N28-HIGH	extpcr-H			null		
25	pcr	"ca4070,ca4071"	N28-cHIGH	extpcr-cH			null		
26	pcr	"ca4070,ca4071"	N28-MED	extpcr-M			null		
27	pcr	"ca4070,ca4071"	N28-cMED	extpcr-cM			null		
28	pcr	"ca4070,ca4071"	N28-LOW	extpcr-L			null		
29	pcr	"ca4070,ca4071"	N28-cLOW	extpcr-cL			null		
30	sequence	extpcr-*	ca4070	N28_analysis			null		
