>name	construction_P20N1								
>description	"bin A assembly vector with pUC/Amp backbone, rbs.RFP, for BseRI/BsaI assembly"								
									
>>steps	operation	materials1	materials2	product	size_bp	barcode	status	date	note
1	acquire	gblock		g_mRFP	752	freetube	done	2016_03_16	
2	acquire	plasmid		pSB1A2-I13521	3008	freetube	done	2016_03_16	any pSB1A2/pBca9145 will work
3	acquire	oligo		"ca4000,ca4001,ca4002,ca4003"		"A1,A2,A3,A4"	done	2016_03_16	
4	pcr	g_mRFP	"ca4000,ca4001"	pcrRFP	752		done	2016_03_18	run on iMicrobe's Phusion program
5	pcr	pSB1A2-I13521	"ca4002,ca4003"	pcrOri	2082		done	2016_03_18	"like previous, a 50 uL reaction"
6	zymo	pcrRFP		fragRFP			done	2016_03_21	"Smeary on gel, but contains right band"
7	zymo	pcrOri		fragOri			done	2016_03_21	Nice clean band
8	digest	"XhoI,EcoRI"	fragRFP	digRFP	740		done	2016_03_21	
9	digest	"XhoI,EcoRI"	fragOri	digOri	2070		done	2016_03_21	
10	zymo	digRFP		insRFP			done	2016_03_21	
11	zymo	digOri		insOri		A5	done	2016_03_21	
12	ligate	"insRFP,insOri"		p20N1	2802		done	2016_03_22	"did 2x, one with gblock dig, one with the pcr dig"
13	transform	p20N1	zymo_10b	20N1_col			done	2016_03_22	"did 2x, zymo 10B cells, full 10 uL lig in rxn, 50 uL cells"
14	image	20N1_col	20N1_col.jpeg				done	2016_03_23	"both look similar, lots of satellites"
15	pick	20N1_col		20N1A-20N1D		store	done	2016_03_23	"picked 4 of each, alternating"
16	mini	20N1A-20N1H		p20N1_A-p20N1_H		store	done	2016_03_24	
17	map	"XhoI,EcoRI"	20N1A-20N1H	20N1-gel1.tif			done	2016_03_24	only clone C has insert
18	sequence	20N1A_mini-20N1D_mini	"ca998,G00101"	20N1_analysis			done	2016_03_25	"Confirmed region on clone C, potential point between seq primer, but irrelevent"
