>name	construction_p20N10								
>description	"Swap of KnR into 20N6, displace Amp, final assembly vector bin A, gblock version from pTwist30 sequence with RS removed"								
									
>>steps	operation	materials1	materials2	product	size_bp	barcode	status	date	note
1	acquire	glock		KnRnoRS			done	4/19/16	
2	acquire	plasmid		p20N6			done	4/19/16	used clone A
3	acquire	oligo		"ca4024,ca4025"			done	4/19/16	
5	pcr	"ca4024,ca4025"	p20N6	v_pcr	2653		done	4/19/16	
6	zymo	v_pcr		v			done	4/19/16	
7	digest	"v,KnRnoRS"	BsmBI	N10dig			done	4/19/16	"NEB3, 50uL scale, 3uL each DNA at 1x"
8	zymo	N10dig		N10			done	4/19/16	
9	ligate	N10		p20N10			done	4/19/16	
10	transform	p20N10	kan				done	4/19/16	Perfect-looking blue colonies comparable to p20N6
11	map	"EcoRI,XhoI"			20163;1492		done	4/21/16	"Gel goes AABB, EX;EX;EB;EB, all fine"
12	map	"BamHI,EcoRI"			2828;727		done	4/21/16	
