>name	construction_p20N11								
>description	"Replacement of RFP with TPlpp-amilGFP to make first useable assembly vector, bin A"								
									
>>steps	operation	materials1	materials2	product	size_bp	barcode	status	date	note
1	acquire	plasmid		p20N10			done	4/21/16	Using clone A
2	acquire	plasmid		p20N27			done	4/21/16	Using clone A
3	acquire	oligo		"ca4032,ca4033"			done	4/21/16	
4	pcr	"ca4032,ca4033"	p20N27	yellpcr	1043		done	4/21/16	
5	zymo	yellpcr		yelldna			done	4/21/16	
6	digest	p20N10	"EcoRI,BamHI"	vdig			done	4/21/16	Gel-purified it
7	digest	yelldna	"EcoRI,BamHI"	idig			done	4/21/16	
8	zymo	vdig		N10EBa		store	done	4/21/16	
9	zymo	idig		3233EBa		store	done	4/21/16	
10	ligate	"N10EBa,3233EBa"		p20N11			done	4/21/16	
11	transform	p20N11	kan				done	4/21/16	pick green
12	map	p20N11	"SpeI,BamHI"		??		done	4/21/16	"No image taken, but looked reasonable"
13	map	p20N11	"SpeI,EcoRI"		??		done	4/21/16	"No image taken, but looked reasonable"
14	sequence	"ca998,g00101"	N11_analysis				abort	4/24/16	"Unstable product, recombination confirmed by sequencing"
