>name	construction_p20N12								
>description	"Assembly vector, bin B; goes with p20N11 and p20N13"								
									
>>steps	operation	materials1	materials2	product	size_bp	barcode	status	date	note
1	acquire	plasmid		p20N11			done	4/23/16	
2	acquire	oligo		"ca4034,ca4035,ca998,G00101"			done	4/23/16	
3	pcr	"ca998,g00101"	p20N11	amils	1959		done	4/23/16	"11,16"
4	pcr	"ca4034,ca4035"	p20N11	binB	2102		done	4/23/16	3435
5	zymo	amils		ins			done	4/23/16	
6	zymo	binB		vec			done	4/23/16	
7	digest	ins	"SpeI,EcoRI,DpnI"	idig			done	4/23/16	
8	digest	vec	"SpeI,EcoRI,DpnI"	vdig			done	4/23/16	
9	zymo	idig		I			done	4/23/16	
10	zymo	vdig		V			done	4/23/16	
11	ligate	"V,I"		p20N12			done	4/23/16	
12	transform	p20N12	kan				done	4/23/16	pick green
13	map	p20N12	"SpeI,BamHI"				null		
14	map	p20N12	"SpeI,EcoRI"				null		
15	sequence	p20N12	"ca998,g00101"	N12_analysis			null		
