>name	construction_p20N16								
>description	"E. coli amilGFP reporter plasmid for examining promoter strength.  Yellow upon XbaI/BamHI insertion of promoter, green prior."								
									
>>steps	operation	materials1	materials2	product	size_bp	barcode	status	date	note
1	acquire	plasmid		p20N27			done	4/21/16	using clone A
2	acquire	digest		N10EBa			done	4/21/16	"from 20N11 construction, clone A, gp'd"
3	acquire	oligo		"ca4039,ca4033"			done	4/21/16	
4	pcr	"ca4039,ca4033"	p20N27	3933p	739		done	4/21/16	
5	zymo	3933p		yell			done	4/21/16	
6	digest	yell	"EcoRI,BamHI"	3933d			done	4/21/16	
7	zymo	3933d		3933EBa		store	done	4/21/16	
8	ligate	"3933EBa,N10EBa"		p20N16			done	4/21/16	
9	transform	p20N16	zymo10B	kan			done	4/21/16	pick green
12	map	p20N16	"SpeI,BamHI"		??		done	4/21/16	"No image taken, but looked reasonable"
13	map	p20N16	"SpeI,EcoRI"		??		done	4/21/16	"No image taken, but looked reasonable"
10	sequence	p20N16	"g00101,ca998"	N16_analysus			done	4/26/16	"perfect, clone A"
