>name	construction_p20N18								
>description	"Assembly vector, bin C; goes with p20N16 and p20N17"								
									
>>steps	operation	materials1	materials2	product	size_bp	barcode	status	date	note
1	acquire	plasmid		p20N16			done	4/23/16	
2	acquire	oligo		"ca4036,ca4037,ca998,G00101"			done	4/23/16	
3	pcr	"ca998,g00101"	p20N16	amils	??		done	4/23/16	
4	pcr	"ca4036,ca4037"	p20N11	binC	2102		done	4/23/16	
5	zymo	amils		ins			done	4/23/16	
6	zymo	binC		Cvec			done	4/23/16	
7	digest	ins	"SpeI,EcoRI,DpnI"	idig			done	4/23/16	
8	digest	Cvec	"SpeI,EcoRI,DpnI"	Cdig			done	4/23/16	
9	zymo	idig		I			done	4/23/16	
10	zymo	Cdig		C			done	4/23/16	
11	ligate	"I,C"		p20N18			done	4/23/16	
12	transform	p20N18	kan				done	4/23/16	pick green
13	map	p20N18	"SpeI,EcoRI"		2086;1465		done	4/25/16	"no pic taken, but consistent"
14	sequence	p20N18	"ca998,g00101"	N18_analysis			done	4/26/16	"perfect, clone A"
