>name	construction_p20N2-p20N3								
>description	"bin A assembly vector with TP1 part, test of Xhoi/SalI/SpeI/XbaI/T4 cloning"								
									
>>steps	operation	materials1	materials2	product	size_bp	barcode	status	date	note
1	acquire	plasmid		p20N1	3008		done	2016_03_04	
2	acquire	oligo		"ca4004,ca4005,ca4006,ca4007"		store	done	2016_03_04	
3	wobble		"ca4004,ca4005"	wobHIGH	139	store	done	2016_03_04	"50 uL scale, Phusion, Wobble"
4	wobble		"ca4004,ca4006"	wobMED	139	store	done	2016_03_04	"50 uL scale, Phusion, Wobble"
5	zymo_short	wobHIGH		fragHIGH			done	2016_03_04	
6	zymo_short	wobMED		fragMED			done	2016_03_04	
7	digest	"wobHIGH,wobMED"	"SalI,Xba"	"cutHIGH,cutMED"			done	2016_03_28	
8	digest	p20N1	"XhoI,SpeI"	cut20N1	2910		done	2016_03_28	
9	zymo_short	"cutHIGH,cutMED"		"digHIGH,digMED"			done	2016_03_28	
10	zymo	cut20N1		dig20N1			done	2016_03_28	
11	ligate	"dig20N1,digHIGH"		p20N2			done	2016_03_28	
12	ligate	"dig20N1,digMED"		p20N3			done	2016_03_28	
13	transform	p20N2	TOP10	20N2_col			done	2016_03_28	
14	transform	p20N3	TOP10	20N3_col			done	2016_03_28	
15	pick	20N2_col		20N2A-20N2D		store	null		
16	pick	20N3_col		20N3A-20N3D		store	null		
17	mini	20N2A-20N2D		20N2A_mini-20N2D_mini		store	null		
18	mini	20N3A-20N3D		20N3A_mini-20N3D_mini		store	null		
19	sequence	20N2A_mini-20N2D_mini	ca4007	20N2_seq			null		
20	sequence	20N3A_mini-20N3D_mini	ca4007	20N3_seq			null		
21	analysis	20N2_seq	20N2_analysis				null		
22	analysis	20N3_seq	20N3_analysis				null		
