>name	construction_p20N21-p20N22								
>description	"Receipient backbones for A, AB, and ABC, repair of 5' BsaI/BseRI site"								
									
>>steps	operation	materials1	materials2	product	size_bp	barcode	status	date	note
1	acquire	plasmid		"N21F,N22C"			done	5/17/16	
2	acquire	oligo		"ca4002,ca4085"			done	5/17/16	
4	pcr	"ca4002,ca4085"	N21F	N21eipcr	3566		done	5/17/16	
5	pcr	"ca4002,ca4085"	N22C	N22eipcr	3566		done	5/17/16	
8	zymo	N21eipcr		zN21			done	5/17/16	
9	zymo	N22eipcr		zN22			done	5/17/16	
12	digest	zN21	"XhoI,DpnI"	dN21			done	5/17/16	
13	digest	zN22	"XhoI,DpnI"	dN22			done	5/17/16	
16	zymo	dN21		fN21			done	5/17/16	
17	zymo	dN22		fN22			done	5/17/16	
19	ligate	fN21		p20N21			done	5/17/16	
20	ligate	fN22		p20N22			done	5/17/16	
22	transform	p20N21	amp				done	5/17/16	
23	transform	p20N22	amp				done	5/17/16	
27	sequence	"p20N21,p20N22"	"ca998,g00101"	???			done	5/17/16	"p20N21 clone H, and p20N22 clone H confirmed"
