>name	construction_p20N30-p20N42								
>description	Constitutive promoter parts in p20N16								
									
>>steps	operation	materials1	materials2	product	size_bp	barcode	status	date	note
1	acquire	plasmid		p20N16			null		
3	acquire	oligo		ca4040-ca4063			null		
4	wobble	(many)		wobbles			null		
5	zymo	wobbles		frags			null		
6	digest	frags	"XbaI,BamHI"	digs			null		
7	zymo	digs		inserts		store	null		
	digest	p20N16	"SpeI,BamHI"						gel purify
8	ligate	"p20N16,digs"		p20N30-p20N42			null		
9	transform	p20N30-p20N42	zymo10B	kan			null		pick yellow
10	sequence	p20N30-p20N42	g00101	??			null		
