>name	construction_p20N4								
>description	"bin A assembly vector with 4ABH, promoter stuffer"								
									
>>steps	operation	materials1	materials2	product	size_bp	barcode	status	date	note
1	acquire	plasmid		pBjh1600-4ABH.NhoA			done	4/23/16	
2	acquire	plasmid		p20N11			done	4/23/16	
3	acquire	oligo		"ca4038,ca4009"			done	4/23/16	
4	pcr	pBjh1600-4ABH.NhoA	"ca4038,ca4009"	pcr4ABH	1435		done	4/23/16	4
5	zymo	pcr4ABH		frag4ABH			done	4/23/16	4ABH_PCR
6	digest	frag4ABH	"HindIII,MfeI"	Idig			null		Blocked on HindIII
7	digest	p20N11	"HindIII,EcoRI"	vdig			null		Blocked on HindIII
8	zymo	idig		ins			null		
9	zymo	vdig		vec			null		
10	ligate	"ins,vec"	"T4L,EcoRI"	p20N4			null		
11	transform	p20N4	zymo10B	"kan,paba;kan"			null		
12	sequence	p20N4	"ca4012,ca998"	N4_analysis			null		
