>name	construction_p20N5								
>description	Removal of BsaI site in Bla								
									
>>steps	operation	materials1	materials2	product	size_bp	barcode	status	date	note
1	acquire	plasmid		p20N1			done	3/30/16	
2	acquire	oligo		"ca4010,ca4011"			done	3/30/16	
3	pcr	p20N1	"ca4010,ca4011"	pcr	2830		done	3/30/16	
4	zymo	pcr		frag			done	3/31/16	
5	digest	frag	BsmBI	dig			done	3/31/16	
6	zymo	dig		eipcr			done	3/31/16	
7	ligate	eipcr		p20N5			done	3/31/16	
8	transform	zymo10b	amp	p20N5A-p20N5D			done	3/31/16	~200 colonies
9	map	p20N5A-p20N5D	"BsaI,XhoI"	20N5_gel	2055;747		done	4/5/16	"all 4 correct, A low conc"
10	sequence	p20N5A-p20N5D	"ca998,G00101"	20N5_analysis			done	4/6/16	"Both B and C confirmed, keeping B"
