>name	construction_p20N80-p20N82								
>description	"Construction of cassette-level assembly vectors (Amp, BsaI, BsmBI type)"								
									
>>steps	operation	materials1	materials2	product	size_bp	barcode	status	date	note
1	acquire	plasmid		"p20N5,p20N18"			done	5/14/16	
2	acquire	oligo		ca4108-ca4113			done	5/14/16	
3	pcr	"ca4108,ca4111"	p20N5	pW	2119		done	5/14/16	
4	pcr	"ca4109,ca4112"	p20N5	pX	2119		done	5/16/16	Repeating with DMSO
5	pcr	"ca4110,ca4113"	p20N5	pY	2119		done	5/14/16	
6	zymo	pW		zW			done	5/14/16	
7	zymo	pX		zX			done	5/14/16	
8	zymo	pY		zY			done	5/14/16	
9	digest	zW	"SpeI,BamHI"	dW			done	5/14/16	
10	digest	zX	"SpeI,BamHI"	dX			done	5/16/16	
11	digest	zY	"SpeI,BamHI"	dY			done	5/14/16	
12	digest	p20N18	"SpeI,BamHI"	dAmil	748		done	5/14/16	gp small frag
13	zymo	dW		W			done	5/14/16	
14	zymo	dX		X			done	5/16/16	
15	zymo	dY		Y			done	5/14/16	
16	zymo	dAmil		amilSB		store	done	5/14/16	
17	ligate	"W,amilSB"		p20N80			done	5/14/16	
18	ligate	"X,amilSB"		p20N81			done	5/16/16	
19	ligate	"Y,amilSB"		p20N82			done	5/14/16	
20	transform	p20N80	amp				done	5/14/16	
21	transform	p20N81	amp				done	5/16/16	
22	transform	p20N82	amp				done	5/14/16	
23	sequence	p20N80	"ca998,g00101"	N80_analysis			done	5/14/16	clone A perfect
24	sequence	p20N81	"ca998,g00101"	N81_analysis			done	5/16/16	"clone A a dud, clone N81C perfect"
25	sequence	p20N82	"ca998,g00101"	N82_analysis			done	5/14/16	clone A perfect
