>name	construction_p20N9								
>description	Addition of TP_lpp promoter/terminator into bin A assembly vector p20N6								
									
>>steps	operation	materials1	materials2	product	size_bp	barcode	status	date	note
1	acquire	plasmid		p20N6			done	4/14/16	
2	acquire	oligo		"ca4026,ca4027"			done	4/14/16	
3	acquire	genomic		coli_gen			done	4/14/16	
4	pcr	"ca4026,ca4027"	coli_gen	lpp_pcr	319		done	4/14/16	
5	zymo	lpp_pcr		lpp_frag			done	4/14/16	
6	digest	p20N6	"SpeI,BamHI"	v_dig			done	4/14/16	
7	digest	lpp_frag	"XbaI,BamHI"	i_dig			done	4/14/16	
8	zymo	v_dig		N6-SpBa			done	4/14/16	
9	zymo	i_dig		TPlpp-XbBa			done	4/14/16	
10	ligate	"N6-SpBa,TPlpp-XbBa"	"SpeI,T4L"	p20N9			done	4/14/16	
11	transform	zymo10B	amp				done	4/14/16	
12	sequence	G00101	20N9_analysis				done	4/18/16	"both A and B are correct, go with A. Unfortunately no redness"
