>name	IDT-Tpparts											
>description	Plate from IDT containing TP oligos and XBa digests											
>barcode												
>location	Radiant											
>plate_type	pcr_96											
>temperature	-20											
												
>>composition	1	2	3	4	5	6	7	8	9	10	11	12
A	ca4040	ca4041	ca4042	ca4043	ca4044	ca4045	ca4046	ca4047	ca4048	ca4049	ca4050	ca4051
B	ca4052	ca4053	ca4054	ca4055	ca4056	ca4057	ca4058	ca4059	ca4060	ca4061	ca4062	ca4063
C	TP1	TP2	TP3	TP4	TP5	TP6	TP7	TP8	TP9	TP10	TP11	TP12
D												
E												
F												
G												
H												
												
>>molbiol	1	2	3	4	5	6	7	8	9	10	11	12
A	oligo	oligo	oligo	oligo	oligo	oligo	oligo	oligo	oligo	oligo	oligo	oligo
B	oligo	oligo	oligo	oligo	oligo	oligo	oligo	oligo	oligo	oligo	oligo	oligo
C	digest	digest	digest	digest	digest	digest	digest	digest	digest	digest	digest	digest
D												
E												
F												
G												
H												
												
>>materials2	1	2	3	4	5	6	7	8	9	10	11	12
A												
B												
C	"XbaI,BamHI"	"XbaI,BamHI"	"XbaI,BamHI"	"XbaI,BamHI"	"XbaI,BamHI"	"XbaI,BamHI"	"XbaI,BamHI"	"XbaI,BamHI"	"XbaI,BamHI"	"XbaI,BamHI"	"XbaI,BamHI"	"XbaI,BamHI"
D												
E												
F												
G												
H												
												
>>concentration	1	2	3	4	5	6	7	8	9	10	11	12
A	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
B	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
C	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
D												
E												
F												
G												
H												
