>name	TPcon-toprep-1												
>description	Zymo10B cells transformed with TPcon plasmids												
>barcode													
>location	Radiant												
>plate_type	block_24_well												
>temperature	37												
>molbiol	plasmid												
													
>>composition	1	2	3	4	5	6							
A	p20N43	p20N31	p20N32	p20N33	p20N34			p20N30					p20N35
B	p20N21							p20N36	p20N37	p20N38	p20N39	p20N40	p20N41
C	p20N22							p20N30	p20N31	p20N32	p20N33	p20N34	p20N35
D	p20N23							p20N36	p20N37	p20N38	p20N39	p20N40	p20N41
													
>>promoter	1	2	3	4	5	6							
A	TPlpp	TP2	TP3	TP4	TP5			TP1					TP6
B								TP7	TP8	TP9	TP10	TP11	TP12
C								TP1	TP2	TP3	TP4	TP5	TP6
D								TP7	TP8	TP9	TP10	TP11	TP12
													
>>vector	1	2	3	4	5	6							
A	p20N17	p20N17	p20N18	p20N16	p20N17								
B													
C													
D													
													
>>bin	1	2	3	4	5	6							
A	B	B	C	A	B								
B													
C													
D													
