>name	TPcon-zymo10B-assay1											
>description	Growth of zymo10B clones of Tpcon plasmids driving amilGFP for fluorescence											
>barcode												
>location	Radiant											
>plate_type	block_96_well											
>temperature	37											
>host	zymo10B											
>clone	A											
>antibiotic	kan											
												
>>composition	1	2	3	4	5	6	7	8	9	10	11	12
A	p20N43	p20N31	p20N32	p20N33	p20N34							
B		p20N44	p20N30	p20N36	p20N37							
C	white	p20N38	p20N39	p20N40	p20N41							
D						p20N35						
E	p20N43	p20N31	p20N32	p20N33	p20N34							
F		p20N44	p20N30	p20N36	p20N37							
G	white	p20N38	p20N39	p20N40	p20N41							
H						p20N35						
												
>>promoter	1	2	3	4	5	6	7	8	9	10	11	12
A	TPlpp	TP2	TP3	TP4	TP5							
B		TPlpp	TP1	TP7	TP8							
C		TP9	TP10	TP11	TP12							
D						TP6						
E	TPlpp	TP2	TP3	TP4	TP5							
F		TPlpp	TP1	TP7	TP8							
G		TP9	TP10	TP11	TP12							
H						TP6						
												
>>vector	1	2	3	4	5	6	7	8	9	10	11	12
A	p20N17	p20N17	p20N18	p20N16	p20N17							
B		p20N18	p20N16	p20N16	p20N17							
C		p20N18	p20N16	p20N17	p20N18							
D						p20N18						
E	p20N17	p20N17	p20N18	p20N16	p20N17							
F		p20N18	p20N16	p20N16	p20N17							
G		p20N18	p20N16	p20N17	p20N18							
H						p20N18						
												
>>bin	1	2	3	4	5	6	7	8	9	10	11	12
A	B	B	C	A	B							
B		C	A	A	B							
C		C	A	B	C							
D						C						
E	B	B	C	A	B							
F		C	A	A	B							
G		C	A	B	C							
H						C						
												
>>replicate	1	2	3	4	5	6	7	8	9	10	11	12
A	A	A	A	A	A							
B		A	A	A	A							
C		A	A	A	A							
D						A						
E	B	B	B	B	B							
F		B	B	B	B							
G		B	B	B	B							
H						B						
												
>>fluorescence	1	2	3	4	5	6	7	8	9	10	11	12
A	4345	4213	1854	4401	2582							
B		4229	1459	1533	271							
C	124	460	1047	497	1484							
D						4790						
E	4473	4170	1560	3048	2139							
F		4499	1299	1199	246							
G	122	584	411	592	1475							
H						4776						
