>name	Glycerol_1											
>description	Glycerol stock of Tpcon promoters											
>barcode												
>location	Radiant											
>plate_type	micronic_96											
>temperature	-80											
												
>>datamatrix	1	2	3	4	5	6	7	8	9	10	11	12
A												
B												
C												
D												
E												
F												
G												
H												
												
>>host	1	2	3	4	5	6	7	8	9	10	11	12
A	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	JM109	zymo10B	MC1061	BL21
B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	S288C			
C	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B				
D	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B				
E	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B		zymo10B				
F	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B				
G												
H												
												
>>composition	1	2	3	4	5	6	7	8	9	10	11	12
A	p20N71	p20N87	p20N92	p20N94	p20N99	p20N104	p20N109	p20N114	null	null	null	fym_D3F4
B	p20N84	p20N88	p20N76	p20N95	p20N100	p20N105	p20N110	p20N115	twz_s10			
C	p20N73	p20N89	p20N77	p20N96	p20N101	p20N106	p20N111	p20N116				
D	p20N85	p20N90	p20N93	p20N97	p20N102	p20N107	p20N112	p20N117				
E	p20N86	p20N91	p20N78	p20N98	p20N103	p20N108		p20N118				
F	p20N33	p20N31	p20N35	p20N64	p20N34	p20N66	p20N67	p20N69				
G												
H												
												
>>promoter	1	2	3	4	5	6	7	8	9	10	11	12
A												
B												
C												
D												
E												
F												
G												
H												
												
>>vector	1	2	3	4	5	6	7	8	9	10	11	12
A												
B												
C												
D												
E												
F												
G												
H												
												
>>part	1	2	3	4	5	6	7	8	9	10	11	12
A												
B												
C												
D												
E												
F												
G												
H												
												
>>clone	1	2	3	4	5	6	7	8	9	10	11	12
A	??	B	B	A	A	C	A	A				A
B	A	B	??	A	A	A	B	A				
C	??	A	??	A	A	A	A	A				
D	C	A	A	A	A	B	B	A				
E	A	A	??	A	A	A		A				
F	??	??	??	??	??	??	??	??				
G												
H												
												
>>bin	1	2	3	4	5	6	7	8	9	10	11	12
A												
B												
C												
D												
E												
F												
G												
H												
												
>>antibiotic	1	2	3	4	5	6	7	8	9	10	11	12
A	kan	kan	kan	kan	kan	kan	kan	kan				
B	kan	kan	kan	kan	kan	kan	kan	kan				
C	kan	kan	kan	kan	kan	kan	kan	kan				
D	kan	kan	kan	kan	kan	kan	kan	kan				
E	kan	kan	kan	kan	kan	kan		kan				
F	kan	kan	kan	kan	kan	kan	kan	kan				
G												
H												
