>name	TPcon_EBa											
>description	"EcoRI/BamHI digested minipreps of TPcon, 50 uL each, use 2uL per ligation"											
>barcode												
>location	Radiant											
>plate_type	pcr_96											
>temperature	-20											
												
>>composition	1	2	3	4	5	6	7	8	9	10	11	12
A	p20N71	p20N87	p20N92	p20N94	p20N99	p20N104	p20N109	p20N114				
B	p20N84	p20N88	p20N76	p20N95	p20N100	p20N105	p20N110	p20N115				
C	p20N33	p20N31	p20N35	p20N64	p20N34	p20N66	p20N67	p20N69				
D	p20N73	p20N89	p20N77	p20N96	p20N101	p20N106	p20N111	p20N116				
E	p20N85	p20N90	p20N93	p20N97	p20N102	p20N107	p20N112	p20N117				
F	p20N86	p20N91	p20N78	p20N98	p20N103	p20N108	null	p20N118				
G												
H												
												
>>promoter	1	2	3	4	5	6	7	8	9	10	11	12
A	TP4_UBER	TP2_UBER	TP6_UBER	TP3_UBER	TP5_UBER	TP14_UBER	TP15_UBER	TP17_UBER				
B	TP4_HIGH	TP2_HIGH	TP6_HIGH	TP3_HIGH	TP5_HIGH	TP14_HIGH	TP15_HIGH	TP17_HIGH				
C	TP4_MED	TP2_MED	TP6_MED	TP3_MED	TP5_MED	TP14_MED	TP16_MED	TP17_MED				
D	TP4_LOW	TP2_LOW	TP6_LOW	TP3_LOW	TP5_LOW	TP14_LOW	TP15_LOW	TP17_LOW				
E	TP4_SLOW	TP2_SLOW	TP6_SLOW	TP3_SLOW	TP5_SLOW	TP14_SLOW	TP15_SLOW	TP17_SLOW				
F	TP4_OFF	TP2_OFF	TP6_OFF	TP3_OFF	TP5_OFF	TP14_OFF	null	TP17_OFF				
G												
H												
