>name	construction_p20N170								
>description	Construction of amilGFP entry part								
>clone	A								
									
>>steps	operation	materials1	materials2	product	size_bp	barcode	status	date	note
1	acquire	oligo		"ca4127,ca4128"			done	6/9/16	
2	acquire	plasmid		p20N17			done	6/9/16	
3	pcr	"ca4127,ca4128"	p20N17	amilpcr	???		done	6/9/16	
4	zymo	amilpcr		zamil			done	6/9/16	
5	digest	zamil	"BglII,MfeI"	insdig			done	6/9/16	
6	digest	g9_pink2	"BglII,MfeI"	vecdig			done	6/9/16	
7	zymo	insdig		ins			done	6/9/16	
8	zymo	vecdig		vec			done	6/9/16	
9	ligate	"ins,vec"		p20N170			done	6/9/16	
10	transform	p20N170	zymo10B	amp			done	6/9/16	
11	sequence	p20N170	ca4116	N170_analysis			sequenced	6/11/16	"Clone A confirmed, B not"
