>name	construction_p20N171								
>description	Construction of TP_tet1-TetR(ts)D2 in bin B								
>>steps	operation	materials1	materials2	product	size_bp	barcode	status	date	note
1	acquire	oligo		"ca4133,ca4134"			done	6/24/16	
2	acquire	plasmid		p20N17			done	6/24/16	
3	acquire	plasmid		p20N173			done	6/24/16	is tetR hit D2
4	pcr	"ca4133,ca4134"	p20N173	Ptet-amilGFP-tetR	1666		done	6/24/16	
5	zymo	Ptet-amilGFP-tetR		zcass			done	6/24/16	
6	digest	zcass	"XbaI,MfeI"	insdig			done	6/27/16	
7	digest	p20N17	"SpeI,EcoRI"	vecdig			done	6/27/16	
8	zymo	insdig		ins			done	6/27/16	
9	zymo	vecdig		vec			done	6/27/16	
10	ligate	"ins,vec"		p20N171			done	6/27/16	
11	transform	p20N171	zymo10B	kan			done	6/27/16	
12	sequence	p20N171	"ca998,g00101,ca4129"	N171_analysis			done	6/30/16	"Clone A close enough…maybe mutations in amilGFP, but is functional and won't matter"
