>name	construction_p20N172								
>description	Construction of TP_tet2 in bin A								
>>steps	operation	materials1	materials2	product	size_bp	barcode	status	date	note
1	acquire	oligo		ca4135			done	6/24/16	
2	acquire	oligo		ca4075			done	6/24/16	existing oligo
3	acquire	plasmid		p20N16			done	6/24/16	
4	wobble	"ca4135,ca4075"		tet_cass	138		done	6/24/16	
5	zymo	tet_cass		ztet			done	6/24/16	
6	digest	ztet	"XbaI,BamHI"	insdig			done	6/27/16	
7	digest	p20N16	"SpeI,BamHI"	vecdig			done	6/24/16	
8	zymo	insdig		ins			done	6/27/16	
9	zymo	vecdig		vec			done	6/27/16	
10	ligate	"ins,vec"		p20N172			done	6/27/16	
11	transform	p20N172	zymo10B	kan			done	6/27/16	
12	sequence	p20N172	G00101	N172_analysis			done	6/30/16	"Clone A perfect partial, part region confirmed"
