>name	construction_p20N190								
>description	Construction of TP_tet1-TetR(ts) in bin A for aroF1								
>>steps	operation	materials1	materials2	product	size_bp	barcode	status	date	note
1	acquire	oligo		"ca4133,ca4134"			done	7/14/16	
2	acquire	plasmid		p20N16			done	7/14/16	
3	acquire	plasmid		(tetRhit)			done	7/14/16	
4	pcr	"ca4133,ca4134"	(tetRhit)	Ptet-amilGFP-tetR	1666		done	7/14/16	
5	zymo	Ptet-amilGFP-tetR		zcass			done	7/14/16	
6	digest	zcass	"XbaI,MfeI"	insdig			done	7/14/16	
7	digest	p20N16	"SpeI,EcoRI"	vecdig			done	7/14/16	
8	zymo	insdig		ins			done	7/14/16	
9	zymo	vecdig		vec			done	7/14/16	
10	ligate	"ins,vec"		p20N190			done	7/14/16	
11	transform	p20N190	zymo10B	kan			done	7/14/16	
12	sequence	p20N190	"ca998,g00101,ca4129"	N190_analysis			done	7/19/16	Clone A confirmed
