>name	snow3											
>description	Polyacrylate stabs of various strains											
>barcode												
>location	Radiant											
>plate_type	pcr_96											
>temperature	25											
												
>>composition	1	2	3	4	5	6	7	8	9	10	11	12
A	p20N119	p20N120	p20N121	p20N122	p20N123	p20N124	p20N164	p20N165	p20N166	p20N167	p20N168	p20N169
B	p20N119	p20N120	p20N121	p20N122	p20N123	p20N124		gi_pabABC3	p20N171	p20N171	p20N172	p20N172
C	p20N160	p20N160	p20N161	p20N161	p20N122	p20N123		p20N174	p20N133	p20N133	p20N133	p20N133
D	G9_pink1	G9_pink2	G9_tetR1	p20N175	p20N175	p20N176	p20N176	p20N174	p20N140	p20N140	p20N140	p20N140
E	p20N162	p20N163	p20N170	p20N162	p20N163	p20N162	p20N59	p20N131	p20N138	p20N145	p20N152	
F	p20N162	p20N163	p20N170	p20N162	p20N163	p20N162	p20N57	p20N129	p20N136	p20N143	p20N150	p20N157
G	p20N162	p20N163	p20N170	p20N162	p20N163	p20N162	p20N55	p20N127	p20N134	p20N141	p20N148	p20N155
H	p20N162	p20N163	p20N170	p20N162	p20N163	p20N162		p20N125	p20N132	p20N139	p20N146	p20N153
												
>>clone	1	2	3	4	5	6	7	8	9	10	11	12
A	A	A	A	A	A	A	B	B	A	B	B	B
B	B	B	B	B	B	B		A	A	B	A	B
C	A	B	A	B	C	C		A	E	F	G	H
D	A	A	A	A	B	A	B	B	E	F	G	H
E	A	A	A	E	E	I	A	A	A	A	A	
F	B	B	B	F	F	J	A	A	A	A	A	A
G	C	C	C	G	G	K	A	A	A	A	A	A
H	D	D	D	H	H	L		A	A	A	A	A
												
>>antibiotic	1	2	3	4	5	6	7	8	9	10	11	12
A							amp	amp	amp	amp	amp	amp
B								amp	kan	kan	kan	kan
C								amp	kan	kan	kan	kan
D				kan	kan	kan	kan	amp	kan	kan	kan	kan
E			amp	amp	amp	amp	kan	kan	kan	kan	kan	
F			amp	amp	amp	amp	kan	kan	kan	kan	kan	kan
G			amp	amp	amp	amp	kan	kan	kan	kan	kan	kan
H			amp	amp	amp	amp		kan	kan	kan	kan	kan
												
>>host	1	2	3	4	5	6	7	8	9	10	11	12
A	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B
B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B		zymo10B	zymo10B	zymo10B	zymo10B	zymo10B
C	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B		zymo10B	zymo10B	zymo10B	zymo10B	zymo10B
D	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B
E	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	
F	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B
G	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B
H	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B	zymo10B		zymo10B	zymo10B	zymo10B	zymo10B	zymo10B
												
>>promoter	1	2	3	4	5	6	7	8	9	10	11	12
A												
B												
C												
D												
E												
F												
G												
H												
												
>>vector	1	2	3	4	5	6	7	8	9	10	11	12
A												
B												
C												
D												
E												
F												
G												
H												
												
>>part	1	2	3	4	5	6	7	8	9	10	11	12
A												
B												
C												
D												
E												
F												
G												
H												
												
>>bin	1	2	3	4	5	6	7	8	9	10	11	12
A												
B												
C												
D												
E												
F												
G												
H												
