part,name,bp,vector,plate,well,yield (ng),type,volume,row,col
AAT2,g9_AAT2,895,pG9m-2,12058,A01,2640,GeneBit,26.4,A,1
AAT3,g9_AAT3,808,pG9m-2,12058,B01,830,GeneBit,8.3,B,1
AAT4,g9_AAT4,818,pG9m-2,12058,C01,1060,GeneBit,10.6,C,1
AAT5,g9_AAT5,869,pG9m-2,12058,D01,935,GeneBit,9.4,D,1
AAT6,g9_AAT6,845,pG9m-2,12058,E01,835,GeneBit,8.4,E,1
AAT7,g9_AAT7,817,pG9m-2,12058,F01,1105,GeneBit,11.1,F,1
AAT8,g9_AAT8,926,pG9m-2,12058,G01,705,GeneBit,7.1,G,1
AAT9,g9_AAT9,926,pG9m-2,12058,H01,765,GeneBit,7.7,H,1
AAT10,g9_AAT10,930,pG9m-2,12058,A02,705,GeneBit,7.1,A,2
AAT11,g9_AAT11,894,pG9m-2,12058,B02,595,GeneBit,6.0,B,2
AAT12,g9_AAT12,917,pG9m-2,12058,C02,705,GeneBit,7.1,C,2
AAT13,g9_AAT13,926,pG9m-2,12058,D02,665,GeneBit,6.7,D,2
AAT14,g9_AAT14,941,pG9m-2,12058,E02,545,GeneBit,5.5,E,2
AAT15,g9_AAT15,1112,pG9m-2,12058,F02,885,GeneByte,8.9,F,2
AAT16,g9_AAT16,926,pG9m-2,12058,G02,570,GeneBit,5.7,G,2
AAT1,g9_AAT1,938,pG9m-2,12058,H02,535,GeneBit,5.4,H,2
pabABC1,g9_pabABC1,2792,pG9m-2,12058,A03,1700,GeneByte,17.0,A,3
aroF1,g9_aroF1,1140,pG9m-2,12058,B03,580,GeneByte,5.8,B,3
aroA1,g9_aroA1,1333,pG9m-2,12058,C03,880,GeneByte,8.8,C,3
dap2,g9_dap2,880,pG9m-2,12058,D03,605,GeneBit,6.1,D,3
dap3,g9_dap3,881,pG9m-2,12058,E03,453,GeneBit,4.5,E,3
T7RNAP1,g9_T7RNAP1,2706,pG9m-2,12058,F03,845,GeneByte,8.5,F,3
tetR1,g9_tetR1,691,pG9m-2,12058,G03,795,GeneBit,8.0,G,3
pink1,g9_pink1,758,pG9m-2,12058,H03,530,GeneBit,5.3,H,3
pink2,g9_pink2,759,pG9m-2,12058,A04,570,GeneBit,5.7,A,4
