Software Version	2.04.11																																																																																																
																																																																																																	
Experiment File Path:																																																																																																	
Protocol File Path:	C:\Users\Public\Documents\Protocols\20N_UVscan.prt																																																																																																
Plate Number	Plate 1																																																																																																
Date	6/27/16																																																																																																
Time	8:47:25 AM																																																																																																
Reader Type:	Epoch																																																																																																
Reader Serial Number:	13071819																																																																																																
Reading Type	Reader																																																																																																
																																																																																																	
Procedure Details																																																																																																	
Plate Type	96 WELL PLATE																																																																																																
Read	uv																																																																																																
	Absorbance Spectrum																																																																																																
	Full Plate																																																																																																
	"Start: 200 nm,  Stop: 300 nm,  Step: 5 nm"																																																																																																
	Calibrate Before Read																																																																																																
	"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8"																																																																																																
																																																																																																	
uv:Spectrum																																																																																																	
																																																																																																	
	Wavelength	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
	200	2.86	2.908	2.882	2.888	2.169	2.178	2.885	2.939	2.912	2.897	2.189	2.198	2.178	2.191	2.904	2.898	2.176	2.183	2.202	2.245	2.92	2.899	2.182	2.192	2.86	2.875	2.878	2.807	2.17	2.184	2.903	2.93	2.945	2.917	2.172	2.188	2.871	2.883	2.876	2.912	2.184	2.196	3.025	2.882	2.874	2.922	2.181	2.19	2.2	2.203	2.886	2.905	2.174	2.189	2.197	2.199	2.885	2.88	2.184	2.192	2.2	2.204	2.2	2.2	2.172	2.193	2.213	2.195	2.186	2.19	2.184	2.201	2.194	2.191	2.191	2.189	2.183	2.191	2.197	2.189	2.177	2.185	2.182	2.203	2.193	2.195	2.195	2.181	2.175	2.197	2.197	2.202	2.193	2.188	2.189	2.207
	205	2.935	2.985	2.961	2.967	1.146	1.149	2.964	3.017	2.989	2.975	1.166	1.17	1.15	1.162	2.983	2.973	1.151	1.158	1.169	1.226	2.997	2.972	1.153	1.164	2.931	2.95	2.952	2.869	1.141	1.161	2.985	3.012	3.021	2.99	1.148	1.163	2.949	2.956	2.956	2.99	1.159	1.166	3.105	2.963	2.954	3.004	1.159	1.162	1.169	1.175	2.963	2.984	1.143	1.159	1.167	1.166	2.964	2.961	1.162	1.167	1.176	1.18	1.17	1.175	1.151	1.171	1.182	1.163	1.158	1.165	1.154	1.174	1.164	1.162	1.169	1.159	1.153	1.167	1.173	1.16	1.151	1.16	1.16	1.178	1.168	1.167	1.167	1.159	1.148	1.175	1.169	1.175	1.165	1.165	1.166	1.181
	210	2.922	2.974	2.943	2.941	0.543	0.545	2.946	3.001	2.97	2.943	0.552	0.557	0.542	0.551	2.97	2.942	0.548	0.55	0.556	0.601	2.986	2.939	0.55	0.553	2.913	2.937	2.939	2.745	0.542	0.552	2.972	2.996	3.007	2.978	0.548	0.551	2.928	2.939	2.937	2.973	0.551	0.555	3.091	2.944	2.939	2.988	0.547	0.552	0.555	0.559	2.949	2.968	0.544	0.55	0.552	0.556	2.946	2.94	0.55	0.554	0.557	0.558	0.555	0.561	0.545	0.553	0.564	0.552	0.547	0.55	0.551	0.559	0.554	0.554	0.552	0.55	0.547	0.551	0.559	0.552	0.548	0.552	0.549	0.565	0.554	0.557	0.555	0.55	0.548	0.567	0.558	0.557	0.555	0.552	0.555	0.564
	215	2.901	2.957	2.932	2.863	0.272	0.275	2.936	2.999	2.969	2.833	0.278	0.279	0.274	0.277	2.956	2.852	0.275	0.276	0.281	0.321	2.982	2.78	0.276	0.278	2.879	2.916	2.922	2.432	0.273	0.277	2.957	2.979	3.002	2.957	0.274	0.277	2.89	2.927	2.92	2.938	0.276	0.278	3.067	2.919	2.915	2.975	0.275	0.276	0.28	0.28	2.935	2.925	0.272	0.277	0.278	0.28	2.939	2.908	0.278	0.28	0.28	0.281	0.28	0.285	0.274	0.279	0.286	0.278	0.278	0.28	0.275	0.283	0.277	0.277	0.278	0.277	0.276	0.279	0.28	0.276	0.276	0.278	0.277	0.286	0.279	0.279	0.279	0.276	0.274	0.287	0.277	0.282	0.278	0.277	0.277	0.284
	220	2.859	2.913	2.879	2.581	0.166	0.167	2.919	2.993	2.956	2.487	0.168	0.168	0.169	0.17	2.898	2.532	0.167	0.168	0.172	0.214	2.951	2.373	0.166	0.169	2.713	2.835	2.857	2.004	0.165	0.169	2.892	2.914	2.976	2.83	0.167	0.167	2.733	2.858	2.865	2.758	0.168	0.168	2.967	2.806	2.837	2.909	0.167	0.168	0.171	0.173	2.897	2.72	0.165	0.167	0.171	0.173	2.92	2.786	0.169	0.17	0.172	0.172	0.172	0.177	0.166	0.169	0.177	0.17	0.169	0.17	0.167	0.171	0.167	0.168	0.169	0.167	0.167	0.168	0.169	0.167	0.167	0.169	0.167	0.175	0.169	0.169	0.168	0.167	0.165	0.179	0.169	0.169	0.169	0.168	0.17	0.172
	225	2.414	2.457	2.417	2.019	0.118	0.119	2.509	2.595	2.551	1.924	0.121	0.12	0.123	0.123	2.429	1.983	0.12	0.12	0.126	0.17	2.531	1.835	0.119	0.121	2.178	2.346	2.387	1.524	0.118	0.122	2.428	2.437	2.559	2.319	0.12	0.12	2.204	2.377	2.402	2.223	0.12	0.12	2.494	2.283	2.348	2.446	0.119	0.12	0.125	0.127	2.452	2.181	0.118	0.12	0.125	0.126	2.508	2.261	0.123	0.122	0.126	0.126	0.125	0.131	0.119	0.12	0.13	0.124	0.124	0.125	0.119	0.123	0.12	0.12	0.12	0.119	0.119	0.12	0.12	0.12	0.119	0.121	0.119	0.127	0.121	0.121	0.12	0.119	0.118	0.131	0.119	0.121	0.121	0.12	0.121	0.122
