>name	fayyum-mega-1											
>description	Agar stabs of first round of megaplasmids in project fayyum											
>barcode												
>location	Radiant											
>plate_type	pcr_96											
>temperature	25											
												
>>composition	1	2	3	4	5	6	7	8	9	10	11	12
A	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10		
B	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10		
C	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10		
D	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10		
E	I1	I2	I3	I4	I5	I6	I7	I8	I9	I10		
F	I1	I2	I3	I4	I5	I6	I7	I8	I9	I10		
G	I1	I2	I3	I4	I5	I6	I7	I8	I9	I10		
H	I1	I2	I3	I4	I5	I6	I7	I8	I9	I10		
												
>>clone	1	2	3	4	5	6	7	8	9	10	11	12
A	A	A	A	A	A	A	A	A	A	A		
B	B	B	B	B	B	B	B	B	B	B		
C	C	C	C	C	C	C	C	C	C	C		
D	D	D	D	D	D	D	D	D	D	D		
E	A	A	A	A	A	A	A	A	A			
F	B	B	B	B	B	B	B					
G	C	C	C	C	C	C	C					
H	D	D	D	D	D	D	D					
												
>>note	1	2	3	4	5	6	7	8	9	10	11	12
A										tinge of blue		
B										tinge of blue		
C										blue		
D												
E						blue						
F						blue						
G						blue						
H						blue						
