>name	fayyum_operons_1											
>description	"minipreps of fayyum operons (clone 1, mostly duds) and ebetsu too"											
>barcode												
>location	Radiant											
>plate_type	pcr_96											
>temperature	-20											
												
>>composition	1	2	3	4	5	6	7	8	9	10	11	12
A	p20N59	p20N131	p20N138	p20N145	p20N152		p20N164	p20N165	p20N166	p20N167	p20N168	p20N169
B	p20N57	p20N129	p20N136	p20N143	p20N150	p20N157	p20N164	p20N165	p20N166	p20N167	p20N168	p20N169
C	p20N55	p20N127	p20N134	p20N141	p20N148	p20N155	p20N164	p20N165	p20N166	p20N167	p20N168	p20N169
D		p20N125	p20N132	p20N139	p20N146	p20N153	p20N164	p20N165	p20N166	p20N167	p20N168	p20N169
E							p20N170	p20N162	p20N163			
F							p20N170	p20N162	p20N163			
G							p20N170	p20N162	p20N163			
H							p20N170	p20N162	p20N163			
												
>>clone	1	2	3	4	5	6	7	8	9	10	11	12
A	A	A	A	A	A		A	A	A	A	A	A
B	A	A	A	A	A	A	B	B	B	B	B	B
C	A	A	A	A	A	A	C	C	C	C	C	C
D		A	A	A	A	A	D	D	D	D	D	D
E							A	E	E			
F							B	F	F			
G							C	G	G			
H							D	H	H			
												
>>clone	1	2	3	4	5	6	7	8	9	10	11	12
A												
B												
C												
D												
E								4ABH	aroL			
F								4ABH	aroL			
G								4ABH	aroL			
H								4ABH	aroL			
