>name	UV-fayyum-megaplasmids-b0											
>description	UV readings of fayyum megaplasmids in BL21											
>barcode												
>location	disposed											
>plate_type	pcr_96											
>temperature	25											
>batch	0											
>replicate	A											
>protocol	early_3mL_0											
>note	"SLOW-pink2 can generally be described as a negative control, but can't specify its composition with confidence"											
												
>>composition	1	2	3	4	5	6	7	8	9	10	11	12
A	H1	H2	H3	H4	H5	SLOW-pink2	H1	H2	H3	H4	H5	SLOW-pink2
B	H6	H7	H8	H9	H10		H6	H7	H8	H9	H10	
C	I1	I2	I3	I4	I5		I1	I2	I3	I4	I5	
D	null	I7	I8	I9			null	I7	I8	I9		
E												
F												
G												
H												
												
>>dilution	1	2	3	4	5	6	7	8	9	10	11	12
A	10	10	10	10	10	10	1	1	1	1	1	1
B	10	10	10	10	10	10	1	1	1	1	1	1
C	10	10	10	10	10	10	1	1	1	1	1	1
D	10	10	10	10	10	10	1	1	1	1	1	1
E												
F												
G												
H												
												
>>A_250	1	2	3	4	5	6	7	8	9	10	11	12
A	0.63	0.454	0.465	0.591	0.279	0.273	3.352	3.081	3.093	3.313	1.937	1.486
B	0.382	0.243	0.676	0.59	0.562	0.059	2.605	1.674	3.373	3.381	3.335	0.06
C	0.429	0.415	0.419	0.355	0.253	0.059	3.023	2.904	2.934	2.642	1.63	0.062
D	0.095	0.242	0.493	0.427	0.059	0.056	0.391	1.645	3.183	3.047	0.061	0.062
E	0.06	0.06	0.061	0.061	0.06	0.06	0.06	0.059	0.06	0.06	0.06	0.06
F	0.059	0.06	0.06	0.06	0.059	0.059	0.059	0.059	0.059	0.059	0.061	0.059
G	0.059	0.059	0.061	0.06	0.065	0.059	0.058	0.059	0.059	0.059	0.059	0.06
H	0.059	0.059	0.06	0.062	0.061	0.059	0.06	0.059	0.059	0.06	0.059	0.059
