name	nickname	vector	binA	binB	binC	assembly	antibiotic	sequence	clone	status	notes
fym_A1	A1	p20N80	p20N132	p20N133	p20N55	BsaI	amp				
fym_A2	A2	p20N80	p20N132	p20N140	p20N55	BsaI	amp				
fym_A3	A3	p20N80	p20N132	p20N147	p20N55	BsaI	amp				
fym_A4	A4	p20N80	p20N132	p20N154	p20N55	BsaI	amp				
											
fym_B1	B1	p20N80	p20N53	p20N133	p20N55	BsaI	amp				
fym_B2	B2	p20N80	p20N53	p20N140	p20N55	BsaI	amp				
fym_B3	B3	p20N80	p20N53	p20N147	p20N55	BsaI	amp				
fym_B4	B4	p20N80	p20N53	p20N154	p20N55	BsaI	amp				
											
fym_C1	C1	p20N80	p20N132	p20N147	p20N127	BsaI	amp				
fym_C2	C2	p20N80	p20N132	p20N147	p20N134	BsaI	amp				
fym_C3	C3	p20N80	p20N132	p20N147	p20N141	BsaI	amp				
fym_C4	C4	p20N80	p20N132	p20N147	p20N148	BsaI	amp				
fym_C5	C5	p20N80	p20N132	p20N147	p20N155	BsaI	amp				
											
fym_D1	D1	p20N80	p20N53	p20N147	p20N55	BsaI	amp				
fym_D2	D2	p20N80	p20N125	p20N147	p20N55	BsaI	amp				
fym_D3	D3	p20N80	p20N139	p20N147	p20N55	BsaI	amp				
fym_D4	D4	p20N80	p20N146	p20N147	p20N55	BsaI	amp				
fym_D5	D5	p20N80	p20N153	p20N147	p20N55	BsaI	amp				
											
fym_E1	E1	p20N81	p20N129	p20N130	p20N138	BsaI	amp				
fym_E2	E2	p20N81	p20N129	p20N137	p20N138	BsaI	amp				
fym_E3	E3	p20N81	p20N129	p20N151	p20N138	BsaI	amp				
fym_E4	E4	p20N81	p20N129	p20N158	p20N138	BsaI	amp				
											
fym_F1	F1	p20N81	p20N57	p20N137	p20N138	BsaI	amp				
fym_F2	F2	p20N81	p20N136	p20N137	p20N138	BsaI	amp				
fym_F3	F3	p20N81	p20N143	p20N137	p20N138	BsaI	amp				
fym_F4	F4	p20N81	p20N150	p20N137	p20N138	BsaI	amp				
fym_F5	F5	p20N81	p20N157	p20N137	p20N138	BsaI	amp				
											
fym_G1	G1	p20N81	p20N129	p20N137	p20N59	BsaI	amp				
fym_G2	G2	p20N81	p20N129	p20N137	p20N131	BsaI	amp				
fym_G3	G3	p20N81	p20N129	p20N137	p20N145	BsaI	amp				
fym_G4	G4	p20N81	p20N129	p20N137	p20N152	BsaI	amp				
											
p20N174		p20N82	SLOW-amilGFP				amp				
											
p20N193	J1	p20N80	p20N139	p20N147	p20N134	BsaI	amp		A	mapped	A and B both map correct with BsmBI
p20N194	J2	p20N80	p20N73	p20N147	p20N134	BsaI	amp				
p20N195	J3	p20N80	p20N139	p20N90	p20N134	BsaI	amp				
p20N196	J4	p20N80	p20N139	p20N147	p20N35	BsaI	amp				
											
p20N197	K1	p20N81	p20N192	p20N45	p20N138	BsaI	amp			abort	
p20N198	K2	p20N81	p20N192	p20N130	p20N138	BsaI	amp				
p20N199	K3	p20N81	p20N192	p20N137	p20N138	BsaI	amp				
p20N200	K4	p20N81	p20N192	p20N144	p20N138	BsaI	amp				
p20N201	K5	p20N81	p20N192	p20N151	p20N138	BsaI	amp				
p20N202	K6	p20N81	p20N192	p20N158	p20N138	BsaI	amp				
p20N203	K7	p20N81	p20N192	p20N137	p20N59	BsaI	amp				
p20N204	K8	p20N81	p20N192	p20N137	p20N131	BsaI	amp				
p20N205	K9	p20N81	p20N192	p20N137	p20N138	BsaI	amp				
p20N206	K10	p20N81	p20N192	p20N137	p20N145	BsaI	amp				
p20N207	K11	p20N81	p20N192	p20N137	p20N152	BsaI	amp				
