>name	construction_p20N162-p20N163								
>description	Construction of AroL and 4ABH parts								
									
>>steps	operation	materials1	materials2	product	size_bp	barcode	status	date	note
1	acquire	genomic		MG1655			done	5/6/16	
2	acquire	plasmid		pBjh1600-4ABH.NhoA			done	4/23/16	
3	acquire	oligo		"ca4072,ca4073"			done	5/6/16	
4	acquire	oligo		"ca4038,ca4009"			done	4/23/16	
5	pcr	"ca4072,ca4073"	MG1655	aroLpcr	593		done	5/6/16	
6	zymo	aroLpcr		zAroL			done	5/6/16	
7	pcr	pBjh1600-4ABH.NhoA	"ca4038,ca4009"	pcr4ABH	1435		done	4/23/16	
8	zymo	pcr4ABH		frag4ABH			done	4/23/16	
9	digest	zAroL	"HindIII,MfeI"	aroLdig			done	5/6/16	
10	digest	frag4ABH	"HindIII,MfeI"	4ABHdig			done	6/4/16	
11	digest	g9_pink2	"HindIII,MfeI"	vdig			done	6/4/16	
12	zymo	aroLdig		aroLins			done	6/4/16	
13	zymo	4ABHdig		4ABHins			done	6/4/16	
14	zymo	vdig		vec			done	6/4/16	gel purified
15	ligate	"aroLins,vec"		p20N162			done	6/4/16	
16	ligate	"4ABHins,vec"		p20N163			done	6/4/16	
17	transform	p20N162	zymo10B	amp			done	6/4/16	
18	transform	p20N163	zymo10B	amp			done	6/4/16	
19	sequence	p20N162	"ca4116,ca4117,ca4130"	N162_analysis			done	6/14/16	"A:  close; B,C,D: short insert, see  notebook.  Note name flip with 4abh and aroL.  This is corrected, but does not match first round of dud sequencing.  Clone E matches template, but requires repair (4abh)"
20	sequence	p20N163	ca4116	N163_analysis			done	6/14/16	"A: primer dimer; B: mutant; C: primer dimer; D: short read, see notebook.  Clone E is perfect for aroL."
21	acquire	oligo		"ca4131,ca4132"			done	6/15/16	
22	pcr	"ca4131,ca4132"	p20N162-E	ipcr	~3396		done	6/15/16	
23	digest	ipcr	BsmBI	eipcr			done	6/15/16	
24	ligate	eipcr		p20N162			done	6/15/16	
25	sequence	p20N162	"ca4116,ca4117,ca4130"	N162_analysis			done	6/18/16	"clones I and J sequenced, partially confirmed over middle, annotations in seq results, will confirm fully in next cloning step"
