>name	construction_p20N174								
>description	Construction of SLOW TP17 amilGFP into bin C of BsmBI cassette dest vector								
>>steps	operation	materials1	materials2	product	size_bp	barcode	status	date	note
1	acquire	oligo		"ca4136,ca4137"			done	6/24/16	
2	acquire	plasmid		p20N117			done	6/24/16	"TPcon_dil4x-E8, TPcon15-SLOW-amilGFP"
3	acquire	plasmid		p20N82			done	6/24/16	bin C bsmbi vector
4	pcr	"ca4136,ca4137"	p20N117	slow-amil	844		done	6/24/16	
5	zymo	slow-amil		zins			done	6/24/16	
6	digest	zins	"SpeI,BglII"	insdig					
7	digest	p20N82	"SpeI,BamHI"	vecdig			done	6/24/16	
8	zymo	insdig		ins			done	6/27/16	
9	zymo	vecdig		vec			done	6/27/16	
10	ligate	"ins,vec"		p20N174			done	6/27/16	
11	transform	p20N174	zymo10B	amp			done	6/27/16	
12	sequence	p20N174	"G00101,ca998"	N174_analysis			done	6/30/16	"Clone A perfect partial, could use a reverse read"
