>name	construction_p20N179-p20N180								
>description	Construction of p20N83 variants with no RS-amilGFP or pink2								
									
>>steps	operation	materials1	materials2	product	size_bp	barcode	status	date	note
1	acquire	plasmid		p20N177			done	7/11/16	SLOW-amilGFP
2	acquire	plasmid		p20N178			abort		SLOW-pink2
2	acquire	plasmid		p20N182			done	7/11/16	third BsmBI bin vector
2	acquire	oligo		"ca4142,ca4143,ca4144"			done	7/11/16	
3	pcr	"ca4142,ca4143"	p20N177	amilPCR	866		done	7/11/16	
3	pcr	"ca4142,ca4144"	p20N178	pinkPCR	849		abort		
4	assemble	amilPCR	p20N82	p20N179			done	7/11/16	
4	assemble	pinkPCR	p20N82	p20N180			abort		
8	transform	p20N179	zymo10B	amp			done	7/11/16	
8	transform	p20N180	zymo10B	amp			abort		
9	sequence	p20N179	G00101	N179_analysis			perfect	7/12/16	Clone A is perfect
9	sequence	p20N180	G00101	N180_analysis			aborted		aborted due to bad phenotype of p20N178
