>name	construction_p20N48-p20N50								
>description	Construction of 3 dapD variant versions of assembly backbone behind Bla								
									
>>steps	operation	materials1	materials2	product	size_bp	barcode	status	date	note
1	acquire	plasmid		p20N21			null		
2	acquire	oligo		ca4078-ca4081			null		
3	acquire	genomic		MG1655			null		
4	acquire	gen9		"g9_dap2,g9_dap3"			null		
5	pcr	"ca4078,ca4079"	p20N21	7879pcr	3588		null		
6	pcr	"ca4080,ca4081"	MG1655	dap1pcr	901		null		
7	zymo	7879pcr					null		
8	zymo	dap1pcr					null		
9	digest	7879pcr	"BsmBI,DpnI"	7879dig			null		
10	digest	dap1pcr	"BsmBI,DpnI"	dap1dig			null		
11	digest	g9_dap2	BsmBI	dap2dig			null		
12	digest	g9_dap3	BsmBI	dap3dig			null		
13	zymo	7879dig		f7879		store	null		
14	zymo	dap1dig		fdap1			null		
15	zymo	dap2dig		fdap2			null		
16	zymo	dap3dig		fdap3			null		
17	ligate	"f7879,fdap1"		p20N48			null		
18	ligate	"f7879,fdap2"		p20N49			null		
19	ligate	"f7879,fdap3"		p20N50			null		
20	transform	p20N48-p20N50	zymo10B	amp			null		
21	sequence	p20N48-p20N50	ca4082	???			null		
