>name	construction_p20N45								
>description	Construction of 4ABH assembly vector								
									
>>steps	operation	materials1	materials2	product	size_bp	barcode	status	date	note
1	acquire	plasmid		pBjh1600-4ABH.NhoA			done	4/23/16	
2	acquire	plasmid		p20N31			done	4/23/16	
3	acquire	oligo		ca4038,ca4009			done	4/23/16	
4	pcr	pBjh1600-4ABH.NhoA	ca4038,ca4009	pcr4ABH	1435		done	4/23/16	
5	zymo	pcr4ABH		frag4ABH			done	4/23/16	4ABH_PCR
5	digest	frag4ABH	BglII,MfeI	idig			done	5/6/16	
6	digest	p20N31	BamHI,EcoRI	vdig			done	5/6/16	
7	ligate	idig,vdig		p20N54			done	5/6/16	
8	transform	p20N54	zymo10B	kan			done	5/6/16	
9	sequence	p20N54	ca998,G00101	N54_analysis			abort	5/12/16	Deletions present in A and B clones, suspect star activity, also in second attempt clones C,D,E.  Low colony yield, suspect lethality, so aborting.
