name	nickname	vector	bin1	bin2	bin3	assembly	antibiotic	sequence	clone	status	notes
fym_A4F4	H1	p20N83	A4	F4	p20N174	BsmBI	kan				
fym_B1F4	H2	p20N83	B1	F4	p20N174	BsmBI	kan				
fym_B2F4	H3	p20N83	B2	F4	p20N174	BsmBI	kan				
fym_B3F4	H4	p20N83	B3	F4	p20N174	BsmBI	kan				
fym_C1F4	H5	p20N83	C1	F4	p20N174	BsmBI	kan				
fym_C2F4	H6	p20N83	C2	F4	p20N174	BsmBI	kan				
fym_C3F4	H7	p20N83	C3	F4	p20N174	BsmBI	kan				
fym_D3F4	H8	p20N83	D3	F4	p20N174	BsmBI	kan				
fym_D4F4	H9	p20N83	D4	F4	p20N174	BsmBI	kan				
fym_D5F4	H10	p20N83	D5	F4	p20N174	BsmBI	kan				
fym_A4F5	I1	p20N83	A4	F5	p20N174	BsmBI	kan				
fym_B1F5	I2	p20N83	B1	F5	p20N174	BsmBI	kan				
fym_B2F5	I3	p20N83	B2	F5	p20N174	BsmBI	kan				
fym_B3F5	I4	p20N83	B3	F5	p20N174	BsmBI	kan				
fym_C1F5	I5	p20N83	C1	F5	p20N174	BsmBI	kan				
fym_C2F5	I6	p20N83	C2	F5	p20N174	BsmBI	kan				
fym_C3F5	I7	p20N83	C3	F5	p20N174	BsmBI	kan				
fym_D3F5	I8	p20N83	D3	F5	p20N174	BsmBI	kan				
fym_D4F5	I9	p20N83	D4	F5	p20N174	BsmBI	kan				
fym_D5F5	I10	p20N83	D5	F5	p20N174	BsmBI	kan				
											
fym_J1K2	L2	p20N83	J1	K2	p20N179	BsmBI	kan			fail	all blue colonies
fym_J1K3	L3	p20N83	J1	K3	p20N179	BsmBI	kan			fail	all blue colonies
fym_J1K4	L4	p20N83	J1	K4	p20N179	BsmBI	kan			fail	all blue colonies
fym_J1K5	L5	p20N83	J1	K5	p20N179	BsmBI	kan			fail	all blue colonies
fym_J1K6	L6	p20N83	J1	K6	p20N179	BsmBI	kan			fail	all blue colonies
fym_J1K7	L7	p20N83	J1	K7	p20N179	BsmBI	kan			fail	all blue colonies
fym_J1K8	L8	p20N83	J1	K8	p20N179	BsmBI	kan			fail	all blue colonies
fym_J1K9	L9	p20N83	J1	K9	p20N179	BsmBI	kan			fail	all blue colonies
fym_J1K10	L10	p20N83	J1	K10	p20N179	BsmBI	kan			fail	all blue colonies
fym_J1K11	L11	p20N83	J1	K11	p20N179	BsmBI	kan			fail	all blue colonies
											
fym_J1K2_lc	M2	p20N189-A	J1-A	K2-C	p20N179-A	BsmBI	kan			fail	all blue colonies
fym_J1K3_lc	M3	p20N189-A	J1-A	K3-C	p20N179-A	BsmBI	kan			fail	all blue colonies
fym_J1K4_lc	M4	p20N189-A	J1-A	K4-C	p20N179-A	BsmBI	kan			fail	all blue colonies
fym_J1K5_lc	M5	p20N189-A	J1-A	K5-C	p20N179-A	BsmBI	kan			fail	all blue colonies
fym_J1K6_lc	M6	p20N189-A	J1-A	K6-C	p20N179-A	BsmBI	kan			fail	all blue colonies
fym_J1K7_lc	M7	p20N189-A	J1-A	K7-E	p20N179-A	BsmBI	kan			fail	all blue colonies
fym_J1K8_lc	M8	p20N189-A	J1-A	K8-E	p20N179-A	BsmBI	kan			fail	all blue colonies
fym_J1K9_lc	M9	p20N189-A	J1-A	K9-D	p20N179-A	BsmBI	kan			fail	all blue colonies
fym_J1K10_lc	M10	p20N189-A	J1-A	K10-D	p20N179-A	BsmBI	kan			fail	all blue colonies
fym_J1K11_lc	M11	p20N189-A	J1-A	K11-D	p20N179-A	BsmBI	kan			fail	all blue colonies
											
fym_D3F4	H8	p20N83-B	D3-B	F4-B	p20N174-A	BsmBI	kan			ok	few small fluorescent colonies
fym_D3F4	H8clean	p20N83	fym_D3	fym_F4	p20N174	BsmBI	kan			ok	few small fluorescent colonies
fym_J1K11_lc	M11	p20N189-A	J1-A	K11-D	p20N179-A	BsmBI	kan			fail	
											
fym_N1	N1	p20N189-A	D3-B	F4-B	p20N174-A	BsmBI	Kan			fail	no colonies
fym_N2	N2	p20N83-B	J1-A	F4-B	p20N174-A	BsmBI	Kan			ok	multiple healthy fluorescent colonies
fym_N3	N3	p20N83-B	D3-B	K11-D	p20N174-A	BsmBI	Kan			fail	
fym_N4	N4	p20N83-B	D3-B	F4-B	p20N179-A	BsmBI	Kan			fail	"no colonies, I don't understand how this one failed"
											
fym_N5	N5	p20N83-B	J1-A	K11-D	p20N179-A	BsmBI	Kan			fail	all blue colonies
fym_N6	N6	p20N189-A	D3-B	K11-D	p20N179-A	BsmBI	Kan			fail	no colonies
fym_N7	N7	p20N189-A	J1-A	F4-B	p20N179-A	BsmBI	Kan			fail	no colonies
fym_N8	N8	p20N189-A	J1-A	K11-D	p20N174-A	BsmBI	Kan			fail	all blue colonies
