name	promoter	part	vector	bin	ins_src	vec_src	sequence	analysis	clone	status	notes
p20N53	TP4_UBER	AAT1	p20N71	A	freetube	TPcon_dil4x-A1			E		
p20N55	TP6_UBER	pabABC1	p20N92	C	freetube	TPcon_dil4x-A3			E		
p20N56	TP6_UBER	pabABC3	p20N92	C	freetube	TPcon_dil4x-A3					
p20N57	TP3_UBER	aroF1	p20N94	A	freetube	TPcon_dil4x-A4			E		
p20N45	TP5_UBER	aroL1	p20N99	B	freetube	TPcon_dil4x-A5				abort	
p20N59	TP15_UBER	aroA1	p20N109	C	freetube	TPcon_dil4x-A7			E		
p20N125	TP4_HIGH	AAT1	p20N84	A	freetube	TPcon_dil4x-B1			E		
p20N127	TP6_HIGH	pabABC1	p20N76	C	freetube	TPcon_dil4x-B3			E		
p20N128	TP6_HIGH	pabABC3	p20N76	C	freetube	TPcon_dil4x-B3					
p20N129	TP3_HIGH	aroF1	p20N95	A	freetube	TPcon_dil4x-B4			E		
p20N130	TP5_HIGH	aroL1	p20N100	B	freetube	TPcon_dil4x-B5			A		
p20N131	TP15_HIGH	aroA1	p20N110	C	freetube	TPcon_dil4x-B7			E		
p20N132	TP4_MED	AAT1	p20N33	A	freetube	TPcon_dil4x-C1			E		
p20N133	TP2_MED	4ABH1	p20N31	B	freetube	TPcon_dil4x-C2			F		
p20N134	TP6_MED	pabABC1	p20N35	C	freetube	TPcon_dil4x-C3			E		
p20N135	TP6_MED	pabABC3	p20N35	C	freetube	TPcon_dil4x-C3					
p20N136	TP3_MED	aroF1	p20N64	A	freetube	TPcon_dil4x-C4			E		
p20N137	TP5_MED	aroL1	p20N34	B	freetube	TPcon_dil4x-C5			A		
p20N138	TP15_MED	aroA1	p20N67	C	freetube	TPcon_dil4x-C7			E		
p20N139	TP4_LOW	AAT1	p20N73	A	freetube	TPcon_dil4x-D1			E		
p20N140	TP2_LOW	4ABH1	p20N89	B	freetube	TPcon_dil4x-D2			E		
p20N141	TP6_LOW	pabABC1	p20N77	C	freetube	TPcon_dil4x-D3			E		
p20N142	TP6_LOW	pabABC3	p20N77	C	freetube	TPcon_dil4x-D3					
p20N143	TP3_LOW	aroF1	p20N96	A	freetube	TPcon_dil4x-D4			E		
p20N144	TP5_LOW	aroL1	p20N101	B	freetube	TPcon_dil4x-D5			A		
p20N145	TP15_LOW	aroA1	p20N111	C	freetube	TPcon_dil4x-D7			E		
p20N146	TP4_SLOW	AAT1	p20N85	A	freetube	TPcon_dil4x-E1			F		
p20N147	TP2_SLOW	4ABH1	p20N90	B	freetube	TPcon_dil4x-E2			A		
p20N148	TP6_SLOW	pabABC1	p20N93	C	freetube	TPcon_dil4x-E3			E		
p20N149	TP6_SLOW	pabABC3	p20N93	C	freetube	TPcon_dil4x-E3					
p20N150	TP3_SLOW	aroF1	p20N97	A	freetube	TPcon_dil4x-E4			E		
p20N151	TP5_SLOW	aroL1	p20N102	B	freetube	TPcon_dil4x-E5			A		
p20N152	TP15_SLOW	aroA1	p20N112	C	freetube	TPcon_dil4x-E7			E		
p20N153	TP4_OFF	AAT1	p20N86	A	freetube	TPcon_dil4x-F1			F		
p20N154	TP2_OFF	4ABH1	p20N91	B	freetube	TPcon_dil4x-F2			A		
p20N155	TP6_OFF	pabABC1	p20N78	C	freetube	TPcon_dil4x-F3			F		
p20N156	TP6_OFF	pabABC3	p20N78	C	freetube	TPcon_dil4x-F3					
p20N157	TP3_OFF	aroF1	p20N98	A	freetube	TPcon_dil4x-F4			E		
p20N158	TP5_OFF	aroL1	p20N103	B	freetube	TPcon_dil4x-F5			A		
p20N159											
p20N175	TP_tet1-TetR(ts)D2	4ABH1	p20N171	B	freetube	freetube			A	perfect partial	"End of 4ABH not sequenced, but no pcr done, so likely fine"
p20N176	TP_tet1	aroF1	p20N172	A	freetube	freetube			A	perfect partial	Noticeable brown plate after 24 hrs on benchtop
p20N177	TP17_SLOW	amilGFP	p20N117	B	freetube	TPcon_Eba-E8			A	mapped	"Phenotype, BsaI, and EBa mapping confirmed.  Cut and paste, seq not required."
p20N178	TP17_SLOW	pink2	p20N117	B	freetube	TPcon_Eba-E8				aborted	very poor phenotype relative to p20N177 so ditching
SLOW-amilGFP	TP17_SLOW	amilGFP									
p20N192	TP_tet1-TetR(ts)C6	aroF1	p20N190	A	freetube	freetube			A	perfect partial	
