Ich>name	fayyum_operons											
>description	"Fayyum operons, think diluted for assembly, but unsure of that"											
>barcode												
>location	Radiant											
>plate_type	pcr_96											
>temperature	-20											
>promoter_src_plate	TPcon_dil4x											
>part_src_plate												
												
>>name	1	2	3	4	5	6	7	8	9	10	11	12
A	p20N53		p20N55	p20N56	p20N57	p20N45	p20N59					
B	p20N125		p20N127	p20N128	p20N129	p20N130	p20N131					
C	p20N132	p20N133	p20N134	p20N135	p20N136	p20N137	p20N138					
D	p20N139	p20N140	p20N141	p20N142	p20N143	p20N144	p20N145					
E	p20N146	p20N147	p20N148	p20N149	p20N150	p20N151	p20N152					
F	p20N153	p20N154	p20N155	p20N156	p20N157	p20N158	p20N159					
G												
H												
												
>>promoter	1	2	3	4	5	6	7	8	9	10	11	12
A	TP4_UBER		TP6_UBER	TP6_UBER	TP3_UBER	TP5_UBER	TP15_UBER					
B	TP4_HIGH		TP6_HIGH	TP6_HIGH	TP3_HIGH	TP5_HIGH	TP15_HIGH					
C	TP4_MED	TP2_MED	TP6_MED	TP6_MED	TP3_MED	TP5_MED	TP15_MED					
D	TP4_LOW	TP2_LOW	TP6_LOW	TP6_LOW	TP3_LOW	TP5_LOW	TP15_LOW					
E	TP4_SLOW	TP2_SLOW	TP6_SLOW	TP6_SLOW	TP3_SLOW	TP5_SLOW	TP15_SLOW					
F	TP4_OFF	TP2_OFF	TP6_OFF	TP6_OFF	TP3_OFF	TP5_OFF						
G												
H												
												
>>promoter_src	1	2	3	4	5	6	7	8	9	10	11	12
A	A1		A3	A3	A4		A7					
B	B1		B3	B3	B4	B5	B7					
C	C1	C2	C3	C3	C4	C5	C7					
D	D1	D2	D3	D3	D4	D5	D7					
E	E1	E2	E3	E3	E4	E5	E7					
F	F1	F2	F3	F3	F4	F5						
G												
H												
												
>>part	1	2	3	4	5	6	7	8	9	10	11	12
A	AAT1		pabABC1	pabABC3	aroF1		aroA1					
B	AAT1		pabABC1	pabABC3	aroF1	aroL1	aroA1					
C	AAT1	4ABH1	pabABC1	pabABC3	aroF1	aroL1	aroA1					
D	AAT1	4ABH1	pabABC1	pabABC3	aroF1	aroL1	aroA1					
E	AAT1	4ABH1	pabABC1	pabABC3	aroF1	aroL1	aroA1					
F	AAT1	4ABH1	pabABC1	pabABC3	aroF1	aroL1						
G												
H												
												
>>bin	1	2	3	4	5	6	7	8	9	10	11	12
A	A		C	C	A		C					
B	A		C	C	A	B	C					
C	A	B	C	C	A	B	C					
D	A	B	C	C	A	B	C					
E	A	B	C	C	A	B	C					
F	A	B	C	C	A	B						
G												
H												
												
>>clone	1	2	3	4	5	6	7	8	9	10	11	12
A	E		E		E		E					
B	E		E		E	A	E					
C	E	F	E		E	A	E					
D	E	E	E		E	A	E					
E	F	A	E		E	A	E					
F	F	A	F		E	A						
G												
H												
												
>>status	1	2	3	4	5	6	7	8	9	10	11	12
A												
B												
C												
D												
E												
F												
G												
H												
												
>>note	1	2	3	4	5	6	7	8	9	10	11	12
A												
B												
C												
D												
E												
F												
G												
H												
