Ich>name	fym-cass-2											
>description	"Fayyum cassettes, second iteration, first batch clones C,D,E,F"											
>barcode												
>location	Radiant											
>plate_type	pcr_96											
>temperature	-20											
												
>>nickname	1	2	3	4	5	6	7	8	9	10	11	12
A	K2	K3	K4	K5	K6	K7	K8	K9	K10	K11		
B												
C	K2	K3	K4	K5	K6	K7	K8	K9	K10	K11		
D												
E	K2	K3	K4	K5	K6	K7	K8	K9	K10	K11		
F												
G	K2	K3	K4	K5	K6	K7	K8	K9	K10	K11		
H												
												
>>clone	1	2	3	4	5	6	7	8	9	10	11	12
A	C	C	C	C	C	C	C	C	C	C		
B												
C	D	D	D	D	D	D	D	D	D	D		
D												
E	E	E	E	E	E	E	E	E	E	E		
F												
G	F	F	F	F	F	F	F	F	F	F		
H												
