>name	snow4											
>description	Polyacrylate stabs of various strains											
>barcode												
>location	Radiant											
>plate_type	pcr_96											
>temperature	25											
												
>>composition	1	2	3	4	5	6	7	8	9	10	11	12
A	H1	H2	H3	H4	H5	SLOW-pink2			p20N189	p20N183	p20N183	p20N179
B	H6	H7	H8	H9	H10				p20N189	p20N187	p20N187	p20N179
C	I1	I2	I3	I4	I5				p20N189	p20N188	p20N188	p20N192
D		I7	I8	I9					p20N189	p20N184	p20N184	p20N192
E	p20N197	p20N201	p20N205	p20N193					p20N197	p20N201	p20N205	p20N193
F	p20N198	p20N202	p20N206	p20N194					p20N198	p20N202	p20N206	p20N194
G	p20N199	p20N203	p20N207	p20N195					p20N199	p20N203	p20N207	p20N195
H	p20N200	p20N204		p20N196					p20N200	p20N204		p20N196
												
>>clone	1	2	3	4	5	6	7	8	9	10	11	12
A	C	B	C	D	D	A			A	A	B	A
B	D	C	C	A	D				B	A	B	B
C	A	C	C	A	A				C	A	B	A
D		C	A	A					D	A	B	B
E	A	A	A	A					B	B	B	B
F	A	A	A	A					B	B	B	B
G	A	A	A	A					B	B	B	B
H	A	A		A					B	B		B
												
>>antibiotic	1	2	3	4	5	6	7	8	9	10	11	12
A	kan	kan	kan	kan	kan	kan			kan	kan	kan	kan
B	kan	kan	kan	kan	kan				kan	kan	kan	kan
C	kan	kan	kan	kan	kan				kan	kan	kan	kan
D		kan	kan	kan					kan	kan	kan	kan
E	amp	amp	amp	amp					amp	amp	amp	amp
F	amp	amp	amp	amp					amp	amp	amp	amp
G	amp	amp	amp	amp					amp	amp	amp	amp
H	amp	amp		amp					amp	amp		amp
												
>>host	1	2	3	4	5	6	7	8	9	10	11	12
A	BL21	BL21	BL21	BL21	BL21	BL21			zymo10B	zymo10B	zymo10B	zymo10B
B	BL21	BL21	BL21	BL21	BL21				zymo10B	zymo10B	zymo10B	zymo10B
C	BL21	BL21	BL21	BL21	BL21				zymo10B	zymo10B	zymo10B	zymo10B
D		BL21	BL21	BL21					zymo10B	zymo10B	zymo10B	zymo10B
E	zymo10B	zymo10B	zymo10B	zymo10B					zymo10B	zymo10B	zymo10B	zymo10B
F	zymo10B	zymo10B	zymo10B	zymo10B					zymo10B	zymo10B	zymo10B	zymo10B
G	zymo10B	zymo10B	zymo10B	zymo10B					zymo10B	zymo10B	zymo10B	zymo10B
H	zymo10B	zymo10B		zymo10B					zymo10B	zymo10B		zymo10B
												
>>promoter	1	2	3	4	5	6	7	8	9	10	11	12
A												
B												
C												
D												
E												
F												
G												
H												
												
>>vector	1	2	3	4	5	6	7	8	9	10	11	12
A												
B												
C												
D												
E												
F												
G												
H												
												
>>part	1	2	3	4	5	6	7	8	9	10	11	12
A												
B												
C												
D												
E												
F												
G												
H												
												
>>nickname	1	2	3	4	5	6	7	8	9	10	11	12
A												
B												
C												
D												
E	K1	K5	K9	J1					K1	K5	K9	J1
F	K2	K6	K10	J2					K2	K6	K10	J2
G	K3	K7	K11	J3					K3	K7	K11	J3
H	K4	K8		J4					K4	K8		J4
												
>>note	1	2	3	4	5	6	7	8	9	10	11	12
A												
B												
C												
D												
E												
F												
G												
H												
